# Elements 1e+06
[00001.960 ms] [14.357358] sumSeq
[00004.633 ms] [21.301083] sumCuda<<<auto, 256>>> [thread-duty=64]
[00004.636 ms] [21.299862] sumCuda<<<auto, 512>>> [thread-duty=1]
[00004.644 ms] [21.299862] sumCuda<<<auto, 512>>> [thread-duty=2]
[00004.641 ms] [21.299862] sumCuda<<<auto, 512>>> [thread-duty=3]
[00004.642 ms] [21.299862] sumCuda<<<auto, 512>>> [thread-duty=4]
[00004.642 ms] [21.299862] sumCuda<<<auto, 512>>> [thread-duty=6]
[00004.642 ms] [21.299862] sumCuda<<<auto, 512>>> [thread-duty=8]
[00004.642 ms] [21.299862] sumCuda<<<auto, 512>>> [thread-duty=12]
[00004.642 ms] [21.299862] sumCuda<<<auto, 512>>> [thread-duty=16]
[00004.635 ms] [21.299862] sumCuda<<<auto, 512>>> [thread-duty=24]
[00004.622 ms] [21.301085] sumCuda<<<auto, 512>>> [thread-duty=32]
[00004.587 ms] [21.300283] sumCuda<<<auto, 512>>> [thread-duty=48]
[00004.562 ms] [21.300406] sumCuda<<<auto, 512>>> [thread-duty=64]
[00004.651 ms] [21.299862] sumCuda<<<auto, 1024>>> [thread-duty=1]
[00004.651 ms] [21.299862] sumCuda<<<auto, 1024>>> [thread-duty=2]
[00004.647 ms] [21.299862] sumCuda<<<auto, 1024>>> [thread-duty=3]
[00004.652 ms] [21.299862] sumCuda<<<auto, 1024>>> [thread-duty=4]
[00004.648 ms] [21.299862] sumCuda<<<auto, 1024>>> [thread-duty=6]
[00004.650 ms] [21.299862] sumCuda<<<auto, 1024>>> [thread-duty=8]
[00004.650 ms] [21.299862] sumCuda<<<auto, 1024>>> [thread-duty=12]
[00004.631 ms] [21.301085] sumCuda<<<auto, 1024>>> [thread-duty=16]
[00004.584 ms] [21.300283] sumCuda<<<auto, 1024>>> [thread-duty=24]
[00004.560 ms] [21.300407] sumCuda<<<auto, 1024>>> [thread-duty=32]
[00004.534 ms] [21.300472] sumCuda<<<auto, 1024>>> [thread-duty=48]
[00004.523 ms] [21.300516] sumCuda<<<auto, 1024>>> [thread-duty=64]
